sample_id,mse,iou,dice,precision_v1,recall_v1,f1_v1,precision_v2,recall_v2,f1_v2,precision_v3,recall_v3,f1_v3,precision_v4,recall_v4,f1_v4
154,0.3337430854333128,0.392436674991081,0.5636689725851909,0.68,0.53125,0.5964912280701754,0.9589322381930184,0.2584394023242944,0.4071490845684394,0.25157232704402516,0.26578073089701,0.2584814216478191,0.1348314606741573,0.18045112781954886,0.15434083601286175
264,0.3741159830268741,0.5520894643908181,0.7114144861585134,0.4782608695652174,0.55,0.5116279069767442,0.937365010799136,0.4636752136752137,0.6204431736954967,0.2504816955684008,0.5701754385964912,0.34805890227576974,0.09595959595959595,0.5428571428571428,0.1630901287553648
427,0.33879781420765026,0.5005018400802944,0.6671125975473802,0.25,0.5,0.3333333333333333,0.9408983451536643,0.44394868934746234,0.6032588101553619,0.3062330623306233,0.6608187134502924,0.41851851851851857,0.15384615384615385,0.4339622641509434,0.22716049382716053
42,0.40070335126189494,0.5692173913043478,0.7254793305995788,0.5526315789473685,0.5121951219512195,0.5316455696202531,0.9758397171479081,0.46295778585406766,0.6279863481228669,0.28888888888888886,0.291044776119403,0.2899628252788104,0.35218508997429304,0.4597315436241611,0.39883551673944684
1,0.3783311489733508,0.5858377933305887,0.7388369678089304,1.0,0.5,0.6666666666666666,0.9986577181208054,0.4943521594684385,0.6613333333333333,0.2923076923076923,0.5277777777777778,0.3762376237623763,0.08064516129032258,1.0,0.1492537313432836
480,0.5025323579065841,0.5539661898569571,0.7129707112970711,0.3170731707317073,0.4482758620689655,0.37142857142857144,0.9770253929866989,0.4315086782376502,0.5986293758103353,0.14563106796116504,0.19230769230769232,0.16574585635359115,0.3232876712328767,0.4068965517241379,0.36030534351145044
362,0.4128878281622912,0.5494372990353698,0.7092088197146563,0.6984126984126984,0.6285714285714286,0.6616541353383458,0.9702602230483272,0.5390705679862307,0.6930736888692189,0.24220963172804533,0.5777027027027027,0.34131736526946105,0.24060150375939848,0.5981308411214953,0.34316353887399464
452,0.5885492479378942,0.6362594545037819,0.7776999579773077,0.6875,0.5238095238095238,0.5945945945945946,0.9654618473895582,0.4809923969587835,0.642094017094017,0.37559808612440193,0.5793357933579336,0.4557329462989841,0.18448637316561844,0.5906040268456376,0.28115015974440893
408,0.3234762979683973,0.6289070694357038,0.7721828718609144,0.8043478260869565,0.6851851851851852,0.74,0.9563465413028879,0.5172539048310933,0.6713814238566714,0.3154875717017208,0.4925373134328358,0.3846153846153846,0.24539877300613497,0.7058823529411765,0.3641881638846738
68,0.32117367168913563,0.6338235294117647,0.7758775877587759,0.5967741935483871,0.7115384615384616,0.6491228070175439,0.9664157498552403,0.43794279716609813,0.6027446731672084,0.30275229357798167,0.5508345978755691,0.39074273412271265,0.1940828402366864,0.6307692307692307,0.29683257918552036
11,0.2974287699791522,0.5368474923234391,0.6986346986346986,0.7142857142857143,0.5172413793103449,0.6000000000000001,0.9690909090909091,0.398355754857997,0.5646186440677966,0.23229461756373937,0.5061728395061729,0.31844660194174756,0.056818181818181816,0.4838709677419355,0.1016949152542373
196,0.8607741190063547,0.6287661406025825,0.7720766351024003,0.8285714285714286,0.48333333333333334,0.6105263157894737,0.9569321533923304,0.5160674514794782,0.6705250103348491,0.41124260355029585,0.5755693581780539,0.4797238999137187,0.20410958904109588,0.7883597883597884,0.32426550598476606
354,0.7263770712046574,0.44466082440765986,0.615592001797349,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.9928057553956835,0.32935560859188545,0.49462365591397855,0.08108108108108109,0.6,0.14285714285714288,0.0028169014084507044,0.4,0.005594405594405594
254,1.6162724692526016,0.5785594639865996,0.7330220713073005,0.631578947368421,0.48,0.5454545454545454,0.9243614931237721,0.5666967780788918,0.7026320701885382,0.34332425068119893,0.5271966527196653,0.4158415841584159,0.24702380952380953,0.640926640926641,0.3566058002148228
238,0.34292894676719216,0.6046785924906625,0.753644493446037,0.25609756097560976,0.5833333333333334,0.35593220338983056,0.925671025464556,0.4979637171417993,0.6475686085700529,0.3683712121212121,0.5613275613275613,0.4448256146369354,0.2404227212681638,0.6254295532646048,0.34732824427480913
352,1.228,0.6189507930052867,0.7646320020095453,0.631578947368421,0.42857142857142855,0.5106382978723404,0.9026063100137174,0.5144644253322909,0.6553784860557769,0.3772455089820359,0.45161290322580644,0.4110929853181076,0.25936599423631124,0.7692307692307693,0.3879310344827586
202,2.7905777166437415,0.4947986129634569,0.6620271234832262,0.4722222222222222,0.4857142857142857,0.47887323943661975,0.8223350253807107,0.2998611753817677,0.43947100712105797,0.34552102376599636,0.5542521994134897,0.42567567567567566,0.2113095238095238,0.5220588235294118,0.3008474576271187
149,0.35741864313292887,0.5975490196078431,0.7480822338140534,0.5588235294117647,0.6551724137931034,0.6031746031746031,0.8984881209503239,0.3950617283950617,0.5488126649076517,0.291970802919708,0.54421768707483,0.38004750593824227,0.13522012578616352,0.6935483870967742,0.22631578947368422
14,0.393071000855432,0.45209672482399754,0.622681281618887,0.6818181818181818,0.5357142857142857,0.6,0.9734939759036144,0.36495031616982837,0.530880420499343,0.09821428571428571,0.5133333333333333,0.16488222698072805,0.00904977375565611,0.42857142857142855,0.01772525849335303
494,0.7424346629986245,0.45430238210986873,0.6247701821828514,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.954510993176649,0.46184886280264126,0.6224969097651422,0.24295774647887325,0.36507936507936506,0.2917547568710359,0.14785992217898833,0.3140495867768595,0.20105820105820107
