sample_id,mse,iou,dice,precision_v1,recall_v1,f1_v1,precision_v2,recall_v2,f1_v2,precision_v3,recall_v3,f1_v3,precision_v4,recall_v4,f1_v4
195,0.23631941629509526,0.7155457552370452,0.8341902313624678,0.6666666666666666,0.5882352941176471,0.625,0.9585921325051759,0.7364793213149523,0.8329835082458771,0.2564102564102564,0.6185567010309279,0.36253776435045315,0.23076923076923078,0.6428571428571429,0.339622641509434
401,0.170679012345679,0.7707974756167527,0.8705653653005022,0.8823529411764706,0.7142857142857143,0.7894736842105262,0.9766980664353,0.8073770491803278,0.884002692393987,0.4396135265700483,0.6232876712328768,0.5155807365439093,0.23728813559322035,0.8484848484848485,0.3708609271523179
133,0.2704181320828449,0.664192294096854,0.7982158028887001,0.6666666666666666,0.3902439024390244,0.4923076923076923,0.9454756380510441,0.49364021804966685,0.6486271388778353,0.2507204610951009,0.7331460674157303,0.37365783822476734,0.17277486910994763,0.7252747252747253,0.2790697674418604
136,0.6435352622061483,0.5370959638251549,0.6988450642841577,0.3888888888888889,0.5147058823529411,0.44303797468354433,0.9434865900383141,0.5232403718459495,0.6731590637280027,0.31069958847736623,0.5582255083179297,0.3992068737607402,0.2585438335809807,0.5667752442996743,0.3551020408163266
277,0.5230680507497116,0.5148945422918025,0.6797760872685518,0.4594594594594595,0.4358974358974359,0.4473684210526316,0.937532002048131,0.611760775141998,0.7403962798220785,0.25393700787401574,0.3993808049535604,0.3104693140794224,0.1245674740484429,0.5070422535211268,0.19999999999999998
387,0.24319763762919216,0.7615414710485133,0.8646307606885064,0.8222222222222222,0.6271186440677966,0.7115384615384616,0.9626485568760611,0.8083832335329342,0.8787972721636701,0.48455598455598453,0.5905882352941176,0.5323435843054083,0.35084745762711866,0.7870722433460076,0.4853458382180539
151,0.2318939913182545,0.7055176689398636,0.8273355143584151,0.43037974683544306,0.6938775510204082,0.53125,0.966864490603363,0.5993255671367259,0.7399697199091596,0.19845722300140253,0.7467018469656992,0.31357340720221605,0.2589641434262948,0.7602339181286549,0.3863298662704308
414,0.23656542056074767,0.6876299376299376,0.8149060671388975,0.5625,0.6,0.5806451612903225,0.9793915603532876,0.75893536121673,0.855184233076264,0.29292929292929293,0.6,0.3936651583710407,0.2102803738317757,0.8035714285714286,0.3333333333333333
19,0.45858833129334964,0.45386605346363895,0.6243574535389482,0.05442176870748299,0.25806451612903225,0.0898876404494382,0.9739978331527628,0.4000890075656431,0.567192429022082,0.19402985074626866,0.49825783972125437,0.279296875,0.04712041884816754,0.7105263157894737,0.088379705400982
428,0.30827658459926666,0.7618124545674825,0.8648053912804291,0.6842105263157895,0.65,0.6666666666666667,0.9738903394255874,0.8312639286851321,0.8969426313981449,0.30254777070063693,0.6012658227848101,0.4025423728813559,0.28895184135977336,0.7727272727272727,0.42061855670103093
243,0.2862857142857143,0.6479774705581157,0.7863911760136709,0.48148148148148145,0.35135135135135137,0.40625,0.9197530864197531,0.4308433734939759,0.5868066951099442,0.2975480450629556,0.7470881863560732,0.4255924170616114,0.17496229260935142,0.6628571428571428,0.27684964200477324
353,20.657995409334355,0.3895804518211157,0.5607166556071665,0.2727272727272727,0.21428571428571427,0.23999999999999996,0.8696629213483146,0.26452494873547505,0.40566037735849053,0.2275449101796407,0.5643564356435643,0.32432432432432434,0.07623318385650224,0.7391304347826086,0.13821138211382114
106,0.70929203539823,0.568289384719405,0.7247251562836818,0.4155844155844156,0.5333333333333333,0.46715328467153283,0.9350583460172501,0.4954301075268817,0.6476893340361976,0.3852140077821012,0.5814977973568282,0.4634289057928613,0.17480719794344474,0.525096525096525,0.2622950819672131
33,0.29933665008291876,0.46790673303641606,0.6375156166339461,0.3508771929824561,0.5263157894736842,0.42105263157894735,0.9662379421221865,0.4544423440453686,0.6181537670352275,0.30214424951267055,0.44412607449856734,0.35962877030162416,0.16615384615384615,0.3724137931034483,0.2297872340425532
202,1.1039412673879443,0.5628512274475007,0.7202876608629826,0.4166666666666667,0.42857142857142855,0.4225352112676056,0.9375,0.5552984729291994,0.6974716652136007,0.38517179023508136,0.624633431085044,0.4765100671140939,0.26136363636363635,0.6764705882352942,0.3770491803278689
293,0.19531821506949523,0.5601910027645137,0.7181056701030928,0.375,0.34285714285714286,0.3582089552238806,0.9706632653061225,0.5353499824129441,0.6900929494445704,0.36745886654478976,0.5694050991501416,0.44666666666666666,0.2621951219512195,0.4174757281553398,0.32209737827715357
11,0.25392296718972895,0.5504443282801882,0.7100472016183412,0.7333333333333333,0.3793103448275862,0.5,0.9768211920529801,0.44095665171898357,0.607621009268795,0.25,0.5802469135802469,0.34944237918215615,0.05647840531561462,0.5483870967741935,0.10240963855421686
445,0.196120179796546,0.7361351819757366,0.8480159720489144,0.9459459459459459,0.7608695652173914,0.8433734939759038,0.9755134281200631,0.7833809070726292,0.8689533861037818,0.4224,0.707774798927614,0.5290581162324649,0.2983425414364641,0.8181818181818182,0.43724696356275305
373,0.18962322421247685,0.7551783659378596,0.8605146697262743,0.9310344827586207,0.8181818181818182,0.8709677419354839,0.9586321014892444,0.7305590584279109,0.8291984732824429,0.3145299145299145,0.5878594249201278,0.40979955456570155,0.248868778280543,0.8333333333333334,0.38327526132404177
484,0.32669039145907475,0.5624826050654049,0.7199857499109369,0.3695652173913043,0.6538461538461539,0.4722222222222222,0.9859496124031008,0.819573097060008,0.8950956674730591,0.48068669527896996,0.6086956521739131,0.5371702637889689,0.24705882352941178,0.42424242424242425,0.31226765799256506
